;igc;gmmn
0;0.044326121;0.07940611
1;0.039255647;0.101976339
2;0.036634379;0.063035209
3;0.024475687;0.064297195
4;0.020399462;0.07108631
0;0.04061046;0.072620217
1;0.058621611;0.103953834
2;0.043539559;0.077972915
3;0.021809353;0.067615563
4;0.026409456;0.070920309
0;0.035723383;0.062636408
1;0.058433048;0.096542371
2;0.028294434;0.052584197
3;0.035489086;0.081904166
4;0.028049701;0.068470174
0;0.032871505;0.080199182
1;0.037943791;0.052951067
2;0.029809396;0.072469408
3;0.019999025;0.126121437
4;0.026733522;0.051864827
0;0.03597371;0.067634293
1;0.050283263;0.18982885
2;0.030990715;0.068410036
3;0.028474985;0.077663699
4;0.026880087;0.094081601
