;igc;gmmn
0;0.360394043;0.60395609
1;0.246147581;0.257840344
2;0.24386696;0.238776469
3;0.332127692;0.634739405
4;0.202030993;0.2780706
0;0.469544208;1.031789933
1;0.328085638;0.654185128
2;0.239494449;0.741817924
3;0.372911047;0.370479415
4;0.357675846;0.372910597
0;0.452618996;0.844881893
1;0.301166372;0.512782156
2;0.46484939;0.479671361
3;0.365446666;0.863607865
4;0.248890456;0.977723132
0;0.268218087;1.282470636
1;0.382831592;0.657175269
2;0.73032944;0.466648401
3;0.471117536;0.665498191
4;0.643549268;0.329536421
0;0.608872167;0.49212473
1;0.566966925;0.508824842
2;0.364171259;0.291368905
3;0.298036771;0.490476725
4;0.254112375;0.429484195
